urdu,english
محض فہرست دینے سے بات نہیں بنے گی۔,Just giving the list will not talk.
سفارتکار بولا کہ امریکیوں نے لطیف اللہ محسود سے جو کام لینا تھا لے لیا پھر اسے آپ کے حوالے کر دیا اور آپ کو یہ پیغام دیا کہ افغانستان کے راستے سے پاکستان میں مداخلت کرنے والوں کو ا مریکہ اپنی گرفت میں لے سکتا ہے لیکن شرط یہ ہے کہ پاکستان کے راستےسے افغانستان میں مداخلت کرنے والوں پر گرفت کی جائے۔,"The diplomat said that the Americans took the work from Latifullah Mehsud and then handed it over to you and gave you the message that those who interfered in Pakistan by the way to Afghanistan could capture them, but the condition is that those who interfere with Pakistan on the way to Pakistan should be arrested."
افسانے میں ہمیں یہ جملہ ملتا ہے: ”ایک بار آنکھ کھل جائے، پھر آنکھ نہیں لگتی“۔,"In fiction we find the phrase: ""Once the eye opens, then the eye does not look."""
شرائع کی روح جیسا کہ پہلے ذکر ہوا، تقویٰ ہے اور اس میں کوئی اختلاف نہیں۔,"The spirit of the Shariah, as mentioned earlier, is piety and there is no difference."
اس سے تیرہ سو روپے حاصل ہوئے،میں نے فوراً راشن منگوایا اور اس دن پروگرام ٹھیک طریقے سے پورا ہو گیا، اس دن تو ہو گیا لیکن اب دوسرے دن کیلئے کچھ نہیں تھا، میں آج پر یقین رکھنے والا ہوں، کل کا معاملہ اللہ پر چھوڑ دیتا ہوں۔,"This received thirteen rupees, I immediately asked for ration and that day the program was properly completed, it was done that day but now there was nothing for the other day, I am a believer today, I leave tomorrow's case to Allah."
کئی سینیئر رپبلکن رہنماؤں نے کہا ہے کہ وہ ٹرمپ کی حمایت نہیں کریں گے بلکہ وہ ان کی کے بجائے ہلیری کلنٹن کو ووٹ دینے کو فوقیت دیں گے۔,"Several senior Republican leaders have said they will not support Trump, but rather give Hillary Clinton the priority to vote."
اگر آپ سوچ رہے ہیں بلدیاتی نمائندے یہ تمام مسئلے دیکھے اور انہیں حل کریں گے تو ایسا سوچئے بھی مت ۔,"If you are thinking the local representatives see and solve all these problems, don't think so."
ارادے کا کام بنیادی طور پر تاریخ پاکستان کو آئندہ نسلوں کے لئے محفوظ بنانا ہے۔,The intention of intent is primarily to make Pakistan safe for future generations.
حدیث کے نص کی توجیہ شیخ محمد غزالی کے الفاظ میں یوں ہے: ”جب فارس پر فتح اسلامی کا غلبہ ہو رہا تھا تو وہاں پر موروثی آمرانہ حکومت تھی۔,"In the words of Sheikh Mohammed Ghazali, the justification of the Hadith is: “When the conquest of Persia was dominated by the Islamic rule, there was a hereditary government."
دیکھ کیسے سینہ تان کر چل رہا ہے تیرے ساتھ۔,See how the chest is running with you.
اخلاقی لحاظ سے بھی اس اقدام پر بعض اعتراضات پیدا ہوتے ہیں۔,"Evenly, there are some objections to the move."
فتح مکہ کے موقع پر بھی اس اعلان کے ساتھ جہاد کیا۔,"On the occasion of the conquest of Mecca, he fought with this announcement."
یہ بات سن کے میر انشااللہ خان خود صحبت میں جا کر بیٹھے اور کہا کہ میاں مصحفی!,"Upon hearing this, Mir Inshallah Khan himself went to the company and said, ""Mian Mustafa!"""
9 جنوری کو بھٹو زرداری خانوادے کے تینوں بہن بھائی کراچی سے لاہور اترے تو آصفہ کیساتھ نازوں سے پلی ،ان کی تینوں نرم و نازک بلیاں بھی تھیں ،آصفہ کو ان سے کچھ ایسا پیار کہ انہیں زیادہ دیر نظروں سے اوجھل نہیں ہونے دیتیں ۔,"On January 9, the three siblings of Bhutto Zardari's family came to Lahore from Karachi, and Asifa had brought them to Nazis, they had all three soft and delicate cats, and Asifa loved them so much that they would not allow them to disappear for long."
“ کفرکی سزاجس طرح آخرت میں دی جائے گی، اسی طرح اس دنیا میں بھی بعض اوقات اس کی سزادی جاتی ہے۔,"""The punishment of disbelief will be given in the Hereafter, so in this world, it is sometimes punished."
اردو شاعری میں اقبال نے ایک نئی جہت اور احتجاجی لہر کا آغاز کیا۔,"In Urdu poetry, Iqbal started a new dimension and a protest wave."
کہ جس کے سامنے میں اپنے ہاتھ پھیلائے کھڑے ہو جائیں تو وہ حکم دیتا ہے کہ بخش دو میرے اس گناہگار بندے کو۔,"That in front of whom I stand in front of me, he commands that my sinful servant."
بھارتی ریاست آسام کے دارالحکومت گوہاٹی میں ایک تقریب سے خطاب کرتے ہوئے گورنر پدمنابھابالاکرشنا اچاریا کا کہنا تھا کہ اس میں کچھ غلط نہیں کہ ہندوستان صرف ہندوؤں کے لئے ہے، دیگر ممالک سے ہندو بھی یہاں آکر رہ سکتے ہیں اور کیونکہ وہ کوئی غیر نہیں ہمارے اپنے ہی ہیں۔,"Addressing a function in Guwahati, the capital of the Indian state of Assam, Governor Padamnabulkar Rashbarakhana Acharya said that it is not wrong that India is only for Hindus, Hindus from other countries can come here and because they are not our own."
نہیں ماں ایسا ہرگز نہ ہو گا ۔,No mother will never happen.
فوج ملک کا ادارہ ہے اور انھوں نے بھی کرپشن پر اپنے تحفظات ظاہر کیے ہیں۔,The army is the country's institution and they have also expressed their concerns over corruption.
کنول کو اپنے جسم پر یہ بھی اختیار نہ رہا کہ اسے اس لاغر اور کمزور جسم سے کتنے بچے پیدا کرنے ہیں ۔,Kanwal did not even have the option of how many children he had to have this useless and weak body.
زوار اکیڈمی پبلی کیشنز کراچی کے زیرِ اہتمام ۲۰۰۶ء میں درسِ سیرت کی اشاعت اول ہوئی۔,"Zawar Academy Publications, organized by Karachi, was published in the first year."
بالخصوص اُس کی عدالت میں، چاہے وہ عدالت آخرت کی ہویارسالت کے نتیجے میں اس دنیا میں برپاکردی گئی ہو۔,"Particularly in his court, even if the court has been exposed to this world as a result of the Hereafter."
آج پنجاب کے جن اضلاع میں بلدیاتی انتخابات ہو رہے ہیں ان میں سرگودھا، گوجرانوالہ، ساہیوال ،اٹک، جہلم، میانوالی، چنیوٹ، ٹوبہ ٹیک سنگھ، حافظ آباد، منڈی بہاؤالدین، شیخوپورہ اور خانیوال شامل ہیں جب کہ سندھ میں حیدرآباد، ٹنڈو محمد خان، ٹنڈو الہ یار، مٹیاری، دادو، جامشورو، بدین، ٹھٹھہ، سجاول، شہید بے نظیر آباد، تھرپارکر، میرپوخاص، عمر کوٹ اور نوشہروفیروز میں ووٹنگ جاری ہے تاہم سانگھڑ میں سیکیورٹی وجوہات کی بنا پر پولنگ ملتوی کر دی گئی ہے۔,"The districts of Punjab where local elections are taking place today include Sargodha, Gujranwala, Sahiwal, Attock, Jhelum, Mianwali, Chiniot, Toba Tek Singh, Hafizabad, Mandi Bahauddin, Sheikhupura and Khanewal, while Hyderabad, Tando Mohammed, Tando, Tando, Tando, Tando, Tando, Tando, Tando, Tando.Voting is underway in Tharparkar, Mirpokhas, Omar Kot and Nowsherofiroz, but polling has been postponed for security reasons in Sanghar."
خیال وخامہ,Idea
بادشاہ نے خاکروب سے کہا آؤ ہم بھی تماشا دیکھتے ہیں کہ کون بادشاہ بنتا ہے الغرض وہ دونوں مجمع کا حصہ بن گئے۔,"The king said to Khakrob, ""Come, we also see who becomes king, but they both became part of the crowd."""
اُس دن جب فرشتے اور جبریل امین، (سب اس کے حضور میں) صف بستہ کھڑے ہوں گے۔,"On the day when the angels and Gabriel Amin, all of them will stand up."
یہ زبان او رشرم گاہ، یہی دونوں وہ جگہیں ہیں جہاں سے شیطان بالعموم انسان پر حملہ کرتا ہے۔,"This language and rush, these are both places from which the devil generally attacks man."
بہرحال، مولاناوحیدالدین خاں کا نقطۂ نظراس معاملہ میں مختلف ہے، وہ یہاں عام اورروایتی نقطۂ نظرکے مقلدمحض ہیں۔,"However, the point of view of Moulana Haheeduddin Khan is different in the matter, they are here in the general and changing point of view."
مگر سچ تو یہ ہے کہ دونوں باتیں قیاس پر مبنی ہیں اور دونوں کا کوئی مسکت ثبوت دستیاب نہیں ہوتا۔,But the truth is that both things are based on speculation and there is no evidence of both.
انہوں نے کہا کہ اقلیتوں کو ضرور خوش رکھیں لیکن اکثریت کو بھی خوش رکھنا چاہیے ۔,He said that the minorities must be happy but the majority should also be happy.
' رتیک روشن کی نقل کرنے کے الزام پر ٹائیگر نے کہا 'جی ہاں، میں مانتا ہوں کہ میں رتیک جیسا ایکشن اور رقص کرنے کی کوشش کرتا ہوں۔,"'On the charge of copying Ratik Roshan, Tiger said,' Yes, I believe that I try to take action and dance like Ratik."
"مولانا اگر آپ باہمت ہیں تو براہ کرم ذرا ان لبرلز کے حق میں جب کل دنیا بھر کے اخباروں میں خبریں لگیں گی اور آپ کے گاڈ فادر امریکہ سے جب کوئی مذمتی بیان دے گا تو آپ ان سے کہنا کہ تمہاری اور تمہاری ماں کی شلواریں اتاروں گا، پھر آپ کو سمجھ آئے گا کہ شلورایں کیسے اترتی ہیں""۔","If you are courageous, please just in favor of these liberals when news will be reported in newspapers around the world tomorrow and when your godfather will make a statement from the United States, you tell them that you and your mother will take off the shalves, then you will understand how the Shlora descends. """
’من بدل دینہ فاقتلوہ‘ (جوکوئی اپنادین تبدیل کرے، اُسے قتل کر دو)۔,"'Man Bad Din Din Fakulah' (Anyone who changes your own, kill him)."
رحیم اللہ کے بقول جو بھی نیا امیر آئے گا اس سے طالبان کی پالیسیوں میں فوری طور پر کوئی تبدیلی نہیں آئے گی۔,"According to Rahimullah, whoever comes to the new rich will not immediately change the Taliban's policies."
دوسرے جواب سے یہ تاثر مل رہا ہے کہ شاید یہ کتاب میں نے خود خریدی ہے۔,The second answer is giving the impression that maybe I bought this book myself.
اس ادب کی اشاعت کسی ایک دو مطابع سے مخصوص نہیں تھی۔,The publication of this literature was not specific to any of the two compatriots.
الہلال کا نام بھی ابوالکلام 1908ء میں مصر سے اپنے ساتھ لائے تھے۔,Al -Hilal's name was also brought with him from Egypt in 1908.
’ذلیل‘ اور ’ذلول‘ صفت کے طور پر آتا ہے۔,"The ""humiliation"" and 'humiliation' comes as adjectives."
میرا احساس ہے کہ مذہبی شدت پسندوں کے بجائے اگر ایران کی قیادت ان جیسے اصلاح پسند کے ہاتھ میں ہوگی تو اس سے پاکستان اور ایران میں قربت بڑھے گی۔,"I realize that instead of religious extremists, if Iran's leadership is in the hands of a reformist like them, it will increase the proximity between Pakistan and Iran."
جنگ و جہاد کا نازک موضوع جن احتیاطوں اور علمی نزاکتوں کا متقاضی ہے، وہ یہاں مفقود ہیں۔,The critical topic of war and jihad that requires the precautions and scholarships that are here are useful here.
اس عرب سردار کے ساتھ بھی ایسا ہی ہوا۔,The same thing happened to this Arab chief.
ماہرین کا کہنا ہے کہ انٹرنیٹ کی لت میں مبتلا افراد جب اس سہولت سے دور ہوتے ہیں تو ذہنی دباؤ کا شکار ہو جاتے ہیں اور جب وہ دوبارہ انٹرنیٹ استعمال کرتے ہیں تو ان کے جسم میں ہارمون کورٹیسول کی شرح بڑھ جاتی ہے۔,"Experts say that when the Internet addicts get away from this facility, they suffer from mental stress and when they use the Internet again, the hormone cortisol rate in their body increases."
دوسری جانب ایران نے طالبان گروپ کے خاتمے کے لیے افغان حکومت کی مدد اور حمایت کے عزم کا بھی اظہار کیا ہے۔,"Iran, on the other hand, has also vowed to support and support the Afghan government to eliminate the Taliban group."
یہی نہیں ، اب تو سعودی عرب کے جنگی جہاز ترکی پہنچ چکے ہیں۔,"Not only that, now Saudi Arabia's warships have arrived in Turkey."
اور ہر دو گروہ اس بحث میں فکری بد دیانتی کے مرتکب بھی ہو رہے ہیں۔,And each of the two groups are also committing intellectual misconduct in this debate.
موجودہ دور میں جب کہ مسلمان دنیا کے ہر خطے میں سیاسی اور تہذیبی اعتبار سے مکمل طور پر مغلوب اور شدید نوعیت کے مذہبی اختلافات میں مبتلا ہیں، مغرب کی طرف سے اسلام کی مخالفت بظاہر عجیب لگتی ہے۔,"In the present era, when Muslims suffer from religious differences of political and culturally overwhelming and seriously in every region of the world, the West's opposition to Islam seems strange."
اسی قسم کی عیدیں مناتے مناتے بچپن کہیں دور رہ گیا اور جوانی کی دہلیز پہ قدم رکھ دیا۔,"Celebrating the same kind of Eid, childhood was far away and stepped at the doorstep of youth."
فوجی لباس میں ملبوس کالجز کے طلبہ اپنی پڑھائی کے ساتھ ساتھ ایک یا دو ماہ کی اس تربیت میں حصہ لیا کرتے تھے۔,Students from colleges dressed in military dresses participated in this training for a month or two.
اللہ کے آخری رسولؐ نے ارشاد کیا تھا: میرے بعد اگر کوئی نبی ہوتا تو عمر ہوتے۔,"The last Messenger of Allah had said: If there was a prophet after me, he would have been age."
ایک موقع پر جب جے یو آئی کے دونوں دھڑوں میں اتحاد ہوا تو شیخ الحدیث مولانا عبداللہ درخواستی پر اتحاد ختم کرنے کیلئے دباو ڈالنے کو مولانا سمیع الحق کی قیادت میں پچیس علما کا وفد سرکاری طیارے سی 130 میں اسلام آباد سے رحیم یار خان پہنچا مگر سوائے رسوائی کے ہاتھ کچھ نہ آیا۔,"On one occasion, when the JUI factions were united, a delegation of twenty -five clerics led by Maulana Samiul Haq reached Rahim Yar Khan from Islamabad to Rahim Yar Khan in the official plane C -130, but nothing came in the hands of disgrace."
"ملاقات کے اختتام پر دونوں سربراہانِ مملکت صحافیوں سے گفتگو کے لیے آئے تو سی آئی اے کے سابق ڈائریکٹر رابٹ گارنر نے امریکی صدر بل کلنٹن کے یہ الفاظ نقل کیے ""جیسا کہ میں آپ (بینظیر بھٹو) پر پہلے ہی واضح کر چکا ہوں اور میرا نہیں خیال اس سے پہلے کسی امریکی صدر نے آج تک ایسا کہا ہوگا۔","At the end of the meeting, the two heads of state came to talk to journalists, when former CIA director Robet Garner quoted the words of US President Bill Clinton, ""As I have already made it clear to you (Benazir Bhutto), and I have not thought that an American president has said so before."
دل دل پاکستان کے بعد جنید جمشید کا یہ پہلا ملی نغمہ ہے نغمے کی ریکارڈنگ پورے ملک کے اہم مقامات پر کی گئی ہے ۔,This is the first national song of Junaid Jamshed after the heart of Pakistan.
جو شخص عید کی صبح انتقال کرے ،اس کے ورثاٗ کو چاہیے کہ اس کے ترکے میں سے فطرانہ ادا کریں ۔,The heritage of a person who dies on the morning of Eid should be paid out of his throat.
